Country,fleet,subfleet,species,N,mean.q,sd,se,upper,lower
non-UK,Industrial,TR3,SAN,11,2.25E-09,2.13E-09,6.41E-10,3.51E-09,9.98E-10
non-UK,Industrial,TR3,SOL,11,2.35E-12,3.05E-12,9.20E-13,4.16E-12,5.51E-13
non-UK,Industrial,TR3,SPR,11,2.17E-07,1.20E-07,3.63E-08,2.88E-07,1.46E-07
non-UK,Industrial,TR3,WHG,11,2.73E-10,4.83E-10,1.45E-10,5.59E-10,-1.17E-11
non-UK,None,DREDGE,COD,11,2.94E-12,5.00E-12,1.51E-12,5.89E-12,-2.12E-14
non-UK,None,DREDGE,HAD,11,1.86E-13,5.89E-13,1.77E-13,5.34E-13,-1.62E-13
non-UK,None,DREDGE,PLE,11,4.99E-12,1.18E-11,3.56E-12,1.20E-11,-1.99E-12
non-UK,None,DREDGE,POK,11,7.78E-12,2.58E-11,7.78E-12,2.30E-11,-7.47E-12
non-UK,None,DREDGE,SAN,11,7.81E-11,2.59E-10,7.81E-11,2.31E-10,-7.50E-11
non-UK,None,DREDGE,SOL,11,9.96E-14,2.17E-13,6.53E-14,2.28E-13,-2.84E-14
non-UK,None,DREDGE,SPR,11,0,0,0,0,0
non-UK,None,DREDGE,WHG,11,1.44E-15,4.79E-15,1.44E-15,4.27E-15,-1.39E-15
non-UK,None,NONE,COD,11,9.58E-10,1.07E-09,3.22E-10,1.59E-09,3.27E-10
non-UK,None,NONE,HAD,11,4.22E-11,5.31E-11,1.60E-11,7.36E-11,1.09E-11
non-UK,None,NONE,HER,11,9.62E-10,2.00E-09,6.04E-10,2.15E-09,-2.22E-10
non-UK,None,NONE,JAX,11,7.82E-14,1.79E-13,5.41E-14,1.84E-13,-2.79E-14
non-UK,None,NONE,MAC,11,1.01E-10,2.16E-10,6.52E-11,2.29E-10,-2.70E-11
non-UK,None,NONE,NOP,11,1.05E-09,3.35E-09,1.01E-09,3.03E-09,-9.24E-10
non-UK,None,NONE,PLE,11,6.46E-10,1.30E-09,3.91E-10,1.41E-09,-1.21E-10
non-UK,None,NONE,POK,11,9.08E-11,1.56E-10,4.71E-11,1.83E-10,-1.55E-12
non-UK,None,NONE,SAN,11,3.80E-09,6.10E-09,1.84E-09,7.41E-09,1.95E-10
non-UK,None,NONE,SOL,11,1.44E-10,1.91E-10,5.75E-11,2.57E-10,3.13E-11
non-UK,None,NONE,SPR,11,6.43E-09,7.08E-09,2.13E-09,1.06E-08,2.25E-09
non-UK,None,NONE,WHG,11,2.78E-11,5.96E-11,1.80E-11,6.30E-11,-7.42E-12
non-UK,None,POTS,COD,11,6.07E-12,1.30E-11,3.93E-12,1.38E-11,-1.63E-12
non-UK,None,POTS,HAD,11,7.71E-14,2.56E-13,7.71E-14,2.28E-13,-7.40E-14
non-UK,None,POTS,JAX,11,6.43E-16,2.13E-15,6.43E-16,1.90E-15,-6.17E-16
non-UK,None,POTS,NOP,11,1.11E-15,3.67E-15,1.11E-15,3.27E-15,-1.06E-15
non-UK,None,POTS,PLE,11,7.97E-13,1.69E-12,5.09E-13,1.79E-12,-2.01E-13
non-UK,None,POTS,POK,11,3.25E-15,1.08E-14,3.25E-15,9.63E-15,-3.12E-15
non-UK,None,POTS,SOL,11,9.31E-12,1.94E-11,5.86E-12,2.08E-11,-2.18E-12
non-UK,None,POTS,SPR,11,0,0,0,0,0
non-UK,None,POTS,WHG,11,5.65E-13,1.87E-12,5.65E-13,1.67E-12,-5.42E-13
non-UK,Otter,DEM_SEINE,COD,11,NA,NA,NA,NA,NA
