Country,fleet,subfleet,species,N,mean.q,sd,se,upper,lower
UK,Pelagic,PEL_SEINE,COD,11,NA,NA,NA,NA,NA
UK,Pelagic,PEL_SEINE,HAD,11,NA,NA,NA,NA,NA
UK,Pelagic,PEL_SEINE,HER,11,NA,NA,NA,NA,NA
UK,Pelagic,PEL_SEINE,JAX,11,NA,NA,NA,NA,NA
UK,Pelagic,PEL_SEINE,MAC,11,NA,NA,NA,NA,NA
UK,Pelagic,PEL_SEINE,PLE,11,NA,NA,NA,NA,NA
UK,Pelagic,PEL_SEINE,POK,11,NA,NA,NA,NA,NA
UK,Pelagic,PEL_SEINE,WHG,11,NA,NA,NA,NA,NA
UK,Pelagic,PEL_TRAWL,HER,11,6.29E-09,1.82E-09,5.48E-10,7.36E-09,5.21E-09
UK,Pelagic,PEL_TRAWL,JAX,11,2.10E-10,1.38E-10,4.17E-11,2.92E-10,1.28E-10
UK,Pelagic,PEL_TRAWL,MAC,11,6.53E-09,1.49E-09,4.48E-10,7.41E-09,5.65E-09
UK,Pelagic,PEL_TRAWL,NOP,11,6.18E-12,1.50E-11,4.51E-12,1.50E-11,-2.66E-12
UK,Pelagic,PEL_TRAWL,POK,11,2.16E-12,6.19E-12,1.87E-12,5.82E-12,-1.49E-12
UK,Pelagic,PEL_TRAWL,SPR,11,1.74E-09,2.35E-09,7.09E-10,3.13E-09,3.50E-10
UK,Pelagic,PEL_TRAWL,WHG,11,2.47E-14,8.18E-14,2.47E-14,7.30E-14,-2.37E-14
UK,Static,GN1,COD,11,5.84E-09,5.05E-09,1.52E-09,8.82E-09,2.85E-09
UK,Static,GN1,HAD,11,1.32E-12,2.87E-12,8.65E-13,3.01E-12,-3.78E-13
UK,Static,GN1,HER,11,7.02E-13,5.67E-13,1.71E-13,1.04E-12,3.67E-13
UK,Static,GN1,JAX,11,7.95E-16,1.59E-15,4.80E-16,1.74E-15,-1.45E-16
UK,Static,GN1,MAC,11,1.57E-12,4.54E-12,1.37E-12,4.25E-12,-1.12E-12
UK,Static,GN1,PLE,11,1.05E-11,1.88E-11,5.68E-12,2.16E-11,-6.48E-13
UK,Static,GN1,POK,11,1.53E-12,1.50E-12,4.51E-13,2.41E-12,6.42E-13
UK,Static,GN1,SOL,11,7.13E-11,3.72E-11,1.12E-11,9.33E-11,4.93E-11
UK,Static,GN1,SPR,11,6.19E-13,9.64E-13,2.91E-13,1.19E-12,4.92E-14
UK,Static,GN1,WHG,11,3.69E-11,8.28E-11,2.50E-11,8.58E-11,-1.21E-11
UK,Static,GT1,COD,11,1.04E-09,7.37E-10,2.22E-10,1.47E-09,6.04E-10
UK,Static,GT1,HAD,11,9.13E-14,2.35E-13,7.08E-14,2.30E-13,-4.76E-14
UK,Static,GT1,HER,11,4.51E-14,7.92E-14,2.39E-14,9.19E-14,-1.71E-15
UK,Static,GT1,JAX,11,3.98E-14,1.32E-13,3.98E-14,1.18E-13,-3.83E-14
UK,Static,GT1,MAC,11,1.83E-13,3.15E-13,9.50E-14,3.70E-13,-2.88E-15
UK,Static,GT1,PLE,11,1.75E-11,1.48E-11,4.47E-12,2.62E-11,8.69E-12
UK,Static,GT1,POK,11,4.60E-13,7.18E-13,2.17E-13,8.84E-13,3.50E-14
UK,Static,GT1,SOL,11,6.36E-10,3.72E-10,1.12E-10,8.56E-10,4.16E-10
UK,Static,GT1,SPR,11,2.42E-14,8.01E-14,2.42E-14,7.15E-14,-2.32E-14
UK,Static,GT1,WHG,11,1.75E-11,1.32E-11,3.99E-12,2.53E-11,9.66E-12
UK,Static,LL1,COD,11,1.05E-09,1.43E-09,4.30E-10,1.89E-09,2.02E-10
UK,Static,LL1,HAD,11,1.49E-10,2.80E-10,8.43E-11,3.15E-10,-1.58E-11
UK,Static,LL1,MAC,11,9.72E-13,1.59E-12,4.78E-13,1.91E-12,3.50E-14
UK,Static,LL1,PLE,11,1.69E-14,4.38E-14,1.32E-14,4.28E-14,-8.95E-15
UK,Static,LL1,POK,11,1.43E-11,3.02E-11,9.11E-12,3.21E-11,-3.59E-12
UK,Static,LL1,SOL,11,3.16E-13,8.97E-13,2.70E-13,8.46E-13,-2.14E-13
UK,Static,LL1,WHG,11,6.02E-12,6.84E-12,2.06E-12,1.01E-11,1.98E-12
