Year,SPR,NOP,SAN,POD,PLA,DAB,HER,HOM,LEM,SOL,MAC,WHG,WIT,GUG,PLE,RJR,HAD,RJN,MON,COD,POK
1871,0.112659034,0.055618242,0.063741723,0.037055805,0.032608599,0.033325459,0.02535573,0.003850763,0.024785215,0.051133351,0.015564244,0.061373459,0.033216949,0.036994706,0.06927376,0.033363071,0.11189109,0.032496136,0.037415903,0.033522252,0.039621619
1872,0.112659034,0.055618242,0.063741723,0.037055805,0.032608599,0.033325459,0.02535573,0.003850763,0.024785215,0.051133351,0.015564244,0.061373459,0.033216949,0.036994706,0.06927376,0.033363071,0.11189109,0.032496136,0.037415903,0.033522252,0.039621619
1873,0.112659034,0.055618242,0.063741723,0.037055805,0.032608599,0.033325459,0.02535573,0.003850763,0.024785215,0.051133351,0.015564244,0.061373459,0.033216949,0.036994706,0.06927376,0.033363071,0.11189109,0.032496136,0.037415903,0.033522252,0.039621619
1874,0.112659034,0.055618242,0.063741723,0.037055805,0.032608599,0.033325459,0.02535573,0.003850763,0.024785215,0.051133351,0.015564244,0.061373459,0.033216949,0.036994706,0.06927376,0.033363071,0.11189109,0.032496136,0.037415903,0.033522252,0.039621619
1875,0.112659034,0.055618242,0.063741723,0.037055805,0.032608599,0.033325459,0.02535573,0.003850763,0.024785215,0.051133351,0.015564244,0.061373459,0.033216949,0.036994706,0.06927376,0.033363071,0.11189109,0.032496136,0.037415903,0.033522252,0.039621619
1876,0.112659034,0.055618242,0.063741723,0.037055805,0.032608599,0.033325459,0.02535573,0.003850763,0.024785215,0.051133351,0.015564244,0.061373459,0.033216949,0.036994706,0.06927376,0.033363071,0.11189109,0.032496136,0.037415903,0.033522252,0.039621619
1877,0.112659034,0.055618242,0.063741723,0.037055805,0.032608599,0.033325459,0.02535573,0.003850763,0.024785215,0.051133351,0.015564244,0.061373459,0.033216949,0.036994706,0.06927376,0.033363071,0.11189109,0.032496136,0.037415903,0.033522252,0.039621619
1878,0.112659034,0.055618242,0.063741723,0.037055805,0.032608599,0.033325459,0.02535573,0.003850763,0.024785215,0.051133351,0.015564244,0.061373459,0.033216949,0.036994706,0.06927376,0.033363071,0.11189109,0.032496136,0.037415903,0.033522252,0.039621619
1879,0.112659034,0.055618242,0.063741723,0.037055805,0.032608599,0.033325459,0.02535573,0.003850763,0.024785215,0.051133351,0.015564244,0.061373459,0.033216949,0.036994706,0.06927376,0.033363071,0.11189109,0.032496136,0.037415903,0.033522252,0.039621619
1880,0.112659034,0.055618242,0.063741723,0.037055805,0.032608599,0.033325459,0.02535573,0.003850763,0.024785215,0.051133351,0.015564244,0.061373459,0.033216949,0.036994706,0.06927376,0.033363071,0.11189109,0.032496136,0.037415903,0.033522252,0.039621619
1881,0.117290085,0.059050393,0.067458921,0.03868613,0.032979668,0.034037216,0.025418845,0.003874731,0.025261951,0.050279778,0.016988126,0.062509891,0.033742045,0.038515612,0.073119934,0.03372082,0.116795412,0.033146128,0.039124632,0.033958242,0.040487792
1882,0.119776014,0.060301117,0.069992815,0.040858261,0.034643296,0.035637243,0.025935204,0.003927318,0.026265836,0.051929989,0.018612671,0.061950874,0.035353014,0.040753441,0.079689572,0.035415066,0.125373797,0.034641118,0.041166962,0.035972217,0.043154643
1883,0.131304186,0.063885524,0.073943567,0.043074208,0.038811712,0.039876162,0.027142711,0.004055987,0.029430286,0.059366312,0.02054566,0.060794097,0.039327508,0.042656507,0.085693747,0.039591318,0.132130329,0.038507601,0.043165628,0.038360119,0.046425239
1884,0.137820393,0.066969121,0.076371249,0.044516656,0.041582886,0.042694993,0.029245992,0.004325319,0.031726468,0.063348142,0.023406324,0.06366956,0.042013348,0.044327758,0.092003403,0.042401177,0.129181372,0.041398785,0.044941758,0.040909516,0.048969939
1885,0.140169203,0.068899185,0.084488094,0.046448295,0.044376664,0.045107332,0.032797102,0.004595764,0.033883408,0.065779853,0.025515565,0.067263282,0.044613209,0.046356286,0.097505411,0.045160754,0.135036674,0.043952972,0.047199839,0.044554226,0.051152429
1886,0.153043877,0.07342973,0.086941846,0.048243149,0.047320849,0.048114075,0.034123631,0.004772927,0.036660944,0.068997689,0.027636895,0.071704838,0.047769754,0.048033621,0.103867363,0.048148582,0.142164001,0.046994282,0.048713844,0.047754586,0.055082026
1887,0.171362844,0.078553074,0.089268796,0.051998474,0.052455103,0.0536935,0.035494193,0.00498698,0.041721386,0.074747953,0.028115152,0.0767941,0.053413208,0.052190459,0.113658642,0.053727937,0.15312834,0.052418195,0.052702716,0.050336597,0.058994113
1888,0.181993462,0.08413621,0.095027162,0.053463021,0.057570703,0.058507068,0.036070411,0.005314595,0.045531986,0.082170131,0.027987024,0.077627471,0.058276502,0.053572632,0.119194845,0.058897651,0.161649839,0.057364592,0.054128513,0.05154856,0.065595378
1889,0.194340308,0.089601007,0.099917953,0.055085159,0.064877035,0.066764268,0.036942003,0.005495837,0.052329123,0.094211284,0.028065035,0.077609858,0.066105795,0.054600056,0.124568319,0.066624408,0.171147379,0.064776601,0.055656116,0.050487466,0.070401539
1890,0.198734915,0.091554252,0.104011225,0.056033965,0.069032668,0.070347131,0.037856347,0.005628151,0.055915348,0.100742104,0.028038474,0.082975262,0.070045091,0.055543447,0.129613304,0.071135263,0.172109561,0.069004417,0.056440805,0.05317716,0.072099668
1891,0.209682836,0.094818453,0.109445107,0.056523903,0.069074461,0.071010556,0.038377848,0.005724987,0.056974187,0.103313772,0.028603267,0.089256448,0.070387715,0.056407416,0.128069729,0.070839141,0.169574628,0.06944808,0.056722543,0.057199815,0.076331094
1892,0.22401855,0.102210765,0.126763697,0.058300684,0.072338994,0.074103716,0.040616988,0.006043997,0.060227126,0.113329716,0.03014339,0.092291249,0.073877202,0.058423736,0.125207562,0.074198657,0.173268136,0.072039114,0.058979261,0.062048747,0.079196737
1893,0.22100382,0.109808342,0.133296703,0.060891178,0.074560219,0.076473662,0.04270112,0.006129841,0.061698036,0.121685033,0.030691082,0.096549882,0.075637108,0.060275806,0.126020768,0.076659503,0.176183115,0.0739577,0.061048032,0.070422362,0.084127379
1894,0.239755072,0.12166346,0.136120891,0.064645204,0.079864046,0.081923064,0.044420295,0.006431899,0.06614994,0.129266172,0.028547941,0.102819577,0.081516245,0.064386598,0.134401077,0.081825632,0.189047429,0.078967598,0.065071598,0.07730341,0.089587056
1895,0.268803481,0.134013478,0.120919187,0.073539734,0.085260682,0.087081276,0.048430606,0.007429658,0.069935537,0.131393644,0.029960215,0.11597554,0.086826108,0.072630413,0.151383843,0.087177722,0.219544297,0.085029063,0.073414317,0.081593033,0.095115669
1896,0.335953833,0.159382476,0.141642359,0.088170135,0.102470812,0.104692653,0.056156801,0.008893613,0.084329185,0.15351606,0.036778075,0.135497671,0.104542915,0.087911255,0.179677677,0.104807385,0.270761,0.102846202,0.088623333,0.090127018,0.116794989
1897,0.407015425,0.194123041,0.171570187,0.103500495,0.117405337,0.120189246,0.062376619,0.010060488,0.096366752,0.174482962,0.041812664,0.150537248,0.119758623,0.103272027,0.205523174,0.120063285,0.323384935,0.116900659,0.104266272,0.103442929,0.140246119
1898,0.465955217,0.234277757,0.186978503,0.117662354,0.132697964,0.135284354,0.068031979,0.011448514,0.109052869,0.193837436,0.046921568,0.176204823,0.13511655,0.116522131,0.235066846,0.135150223,0.349748472,0.131828838,0.118256588,0.120266871,0.157562023
1899,0.551540847,0.284241339,0.195488173,0.135709439,0.152377772,0.155030083,0.071286039,0.012923769,0.124451944,0.217222458,0.051804911,0.207468104,0.154965228,0.136218915,0.27446006,0.155791149,0.398055891,0.151594243,0.136886552,0.139155438,0.180673658
1900,0.64710764,0.355629201,0.231011938,0.152656105,0.177103753,0.181102158,0.079062245,0.014739232,0.144698074,0.251236589,0.058571639,0.22870335,0.180350027,0.153810914,0.316174341,0.180269583,0.450050366,0.176012079,0.154281912,0.155296203,0.210160503
1901,0.720926571,0.408681903,0.266275017,0.167143474,0.201420276,0.206099935,0.089505288,0.016331326,0.164306111,0.290217366,0.06718706,0.241866979,0.205623618,0.167446497,0.358940222,0.206057283,0.49360747,0.201614098,0.167712338,0.172323107,0.232770368
1902,0.816628563,0.474718549,0.311419292,0.184371508,0.222138691,0.225980102,0.101825035,0.018137413,0.182009528,0.33833092,0.080962112,0.265904117,0.225793583,0.183662272,0.377719401,0.22632668,0.551108142,0.222208577,0.184456431,0.191463755,0.269821688
1903,1.06230981,0.563095473,0.414748935,0.218386167,0.274502564,0.280236989,0.129842977,0.021586877,0.224366652,0.444312319,0.104853863,0.324384563,0.278282845,0.21818675,0.431172845,0.278008829,0.64771092,0.273823397,0.220159527,0.210120753,0.343556326
1904,1.246872471,0.621128938,0.485911899,0.240161448,0.302934585,0.307869157,0.145455287,0.023692635,0.248441871,0.505173379,0.116573153,0.356530962,0.305428118,0.240132566,0.467919315,0.307968573,0.709526375,0.300558214,0.242435033,0.215489647,0.38678462
